date,bolsa de trabajo
2020-10-28 05:00:00,84
2020-10-28 06:00:00,87
2020-10-28 07:00:00,87
2020-10-28 08:00:00,63
2020-10-28 09:00:00,86
2020-10-28 10:00:00,69
2020-10-28 11:00:00,57
2020-10-28 12:00:00,67
2020-10-28 13:00:00,70
2020-10-28 14:00:00,80
2020-10-28 15:00:00,84
2020-10-28 16:00:00,89
2020-10-28 17:00:00,85
2020-10-28 18:00:00,85
2020-10-28 19:00:00,86
2020-10-28 20:00:00,84
2020-10-28 21:00:00,81
2020-10-28 22:00:00,84
2020-10-28 23:00:00,79
2020-10-29 00:00:00,78
2020-10-29 01:00:00,73
2020-10-29 02:00:00,74
2020-10-29 03:00:00,80
2020-10-29 04:00:00,80
2020-10-29 05:00:00,83
2020-10-29 06:00:00,82
2020-10-29 07:00:00,84
2020-10-29 08:00:00,78
2020-10-29 09:00:00,73
2020-10-29 10:00:00,68
2020-10-29 11:00:00,60
2020-10-29 12:00:00,78
2020-10-29 13:00:00,70
2020-10-29 14:00:00,74
2020-10-29 15:00:00,80
2020-10-29 16:00:00,81
2020-10-29 17:00:00,84
2020-10-29 18:00:00,82
2020-10-29 19:00:00,78
2020-10-29 20:00:00,83
2020-10-29 21:00:00,75
2020-10-29 22:00:00,72
2020-10-29 23:00:00,71
2020-10-30 00:00:00,71
2020-10-30 01:00:00,70
2020-10-30 02:00:00,72
2020-10-30 03:00:00,73
2020-10-30 04:00:00,72
2020-10-30 05:00:00,76
2020-10-30 06:00:00,79
2020-10-30 07:00:00,73
2020-10-30 08:00:00,65
2020-10-30 09:00:00,68
2020-10-30 10:00:00,66
2020-10-30 11:00:00,50
2020-10-30 12:00:00,59
2020-10-30 13:00:00,59
2020-10-30 14:00:00,63
2020-10-30 15:00:00,62
2020-10-30 16:00:00,67
2020-10-30 17:00:00,69
2020-10-30 18:00:00,70
2020-10-30 19:00:00,68
2020-10-30 20:00:00,67
2020-10-30 21:00:00,66
2020-10-30 22:00:00,60
2020-10-30 23:00:00,59
2020-10-31 00:00:00,55
2020-10-31 01:00:00,56
2020-10-31 02:00:00,56
2020-10-31 03:00:00,58
2020-10-31 04:00:00,54
2020-10-31 05:00:00,59
2020-10-31 06:00:00,59
2020-10-31 07:00:00,61
2020-10-31 08:00:00,53
2020-10-31 09:00:00,48
2020-10-31 10:00:00,59
2020-10-31 11:00:00,53
2020-10-31 12:00:00,49
2020-10-31 13:00:00,60
2020-10-31 14:00:00,58
2020-10-31 15:00:00,59
2020-10-31 16:00:00,58
2020-10-31 17:00:00,59
2020-10-31 18:00:00,56
2020-10-31 19:00:00,52
2020-10-31 20:00:00,47
2020-10-31 21:00:00,48
2020-10-31 22:00:00,42
2020-10-31 23:00:00,40
2020-11-01 00:00:00,45
2020-11-01 01:00:00,44
2020-11-01 02:00:00,43
2020-11-01 03:00:00,43
2020-11-01 04:00:00,48
2020-11-01 05:00:00,44
2020-11-01 06:00:00,45
2020-11-01 07:00:00,50
2020-11-01 08:00:00,49
2020-11-01 09:00:00,45
2020-11-01 10:00:00,37
2020-11-01 11:00:00,42
2020-11-01 12:00:00,47
2020-11-01 13:00:00,52
2020-11-01 14:00:00,58
2020-11-01 15:00:00,60
2020-11-01 16:00:00,49
2020-11-01 17:00:00,51
2020-11-01 18:00:00,43
2020-11-01 19:00:00,44
2020-11-01 20:00:00,47
2020-11-01 21:00:00,46
2020-11-01 22:00:00,42
2020-11-01 23:00:00,48
2020-11-02 00:00:00,49
2020-11-02 01:00:00,53
2020-11-02 02:00:00,54
2020-11-02 03:00:00,57
2020-11-02 04:00:00,59
2020-11-02 05:00:00,64
2020-11-02 06:00:00,65
2020-11-02 07:00:00,62
2020-11-02 08:00:00,71
2020-11-02 09:00:00,56
2020-11-02 10:00:00,62
2020-11-02 11:00:00,56
2020-11-02 12:00:00,65
2020-11-02 13:00:00,78
2020-11-02 14:00:00,90
2020-11-02 15:00:00,95
2020-11-02 16:00:00,96
2020-11-02 17:00:00,96
2020-11-02 18:00:00,100
2020-11-02 19:00:00,99
2020-11-02 20:00:00,94
2020-11-02 21:00:00,90
2020-11-02 22:00:00,90
2020-11-02 23:00:00,88
2020-11-03 00:00:00,78
2020-11-03 01:00:00,84
2020-11-03 02:00:00,82
2020-11-03 03:00:00,88
2020-11-03 04:00:00,84
2020-11-03 05:00:00,83
2020-11-03 06:00:00,86
2020-11-03 07:00:00,83
2020-11-03 08:00:00,78
2020-11-03 09:00:00,74
2020-11-03 10:00:00,59
2020-11-03 11:00:00,71
2020-11-03 12:00:00,62
2020-11-03 13:00:00,71
2020-11-03 14:00:00,85
2020-11-03 15:00:00,87
2020-11-03 16:00:00,96
2020-11-03 17:00:00,96
2020-11-03 18:00:00,94
2020-11-03 19:00:00,94
2020-11-03 20:00:00,93
2020-11-03 21:00:00,91
2020-11-03 22:00:00,89
2020-11-03 23:00:00,81
2020-11-04 00:00:00,82
2020-11-04 01:00:00,81
2020-11-04 02:00:00,80
2020-11-04 03:00:00,77
2020-11-04 04:00:00,75
