date,geoname,bolsa_de_trabajo
2020-09-20,Aguascalientes,36
2020-09-20,Baja California,18
2020-09-20,Baja California Sur,30
2020-09-20,Campeche,100
2020-09-20,Chiapas,40
2020-09-20,Chihuahua,20
2020-09-20,Ciudad de México,65
2020-09-20,Coahuila de Zaragoza,31
2020-09-20,Colima,34
2020-09-20,Durango,28
2020-09-20,Estado de México,81
2020-09-20,Guanajuato,55
2020-09-20,Guerrero,35
2020-09-20,Hidalgo,52
2020-09-20,Jalisco,37
2020-09-20,Michoacán,36
2020-09-20,Morelos,44
2020-09-20,Nayarit,27
2020-09-20,Nuevo León,36
2020-09-20,Oaxaca,38
2020-09-20,Puebla,42
2020-09-20,Querétaro,40
2020-09-20,Quintana Roo,44
2020-09-20,San Luis Potosí,32
2020-09-20,Sinaloa,28
2020-09-20,Sonora,31
2020-09-20,Tabasco,47
2020-09-20,Tamaulipas,27
2020-09-20,Tlaxcala,43
2020-09-20,Veracruz,44
2020-09-20,Yucatán,42
2020-09-20,Zacatecas,25
2020-11-03,Aguascalientes,26
2020-11-03,Baja California,11
2020-11-03,Baja California Sur,25
2020-11-03,Campeche,100
2020-11-03,Chiapas,35
2020-11-03,Chihuahua,11
2020-11-03,Ciudad de México,84
2020-11-03,Coahuila de Zaragoza,20
2020-11-03,Colima,30
2020-11-03,Durango,18
2020-11-03,Estado de México,96
2020-11-03,Guanajuato,50
2020-11-03,Guerrero,25
2020-11-03,Hidalgo,39
2020-11-03,Jalisco,33
2020-11-03,Michoacán,26
2020-11-03,Morelos,34
2020-11-03,Nayarit,29
2020-11-03,Nuevo León,27
2020-11-03,Oaxaca,26
2020-11-03,Puebla,40
2020-11-03,Querétaro,33
2020-11-03,Quintana Roo,43
2020-11-03,San Luis Potosí,24
2020-11-03,Sinaloa,18
2020-11-03,Sonora,22
2020-11-03,Tabasco,38
2020-11-03,Tamaulipas,21
2020-11-03,Tlaxcala,39
2020-11-03,Veracruz,41
2020-11-03,Yucatán,37
2020-11-03,Zacatecas,20
